사번,이름,채용경로,성별,나이,근속기간,출신대학,대학구분,학점,학력,입사년도,직군,팀구분,퇴직구분,매니저여부,잔업시간,성과점수,미사용.휴가일수,연봉,사업장위치,본인.인지능력,본인.인내력,본인.실행력,매니저.비전,매니저.소통,매니저.실행력,직원만족도,매출액.천원,불량건수
4917,주가희,공채,여,47,28.5,경북대학교,국립,90.89,학사,2015,경영지원,마케팅팀,No,No,31,43.9,2,84719620,서울(본사),68,98,84,94,72,1,59.4,NA,NA
3014,강경욱,공채,남,31,12.4,포항공과대학교,top5,90,박사,2014,연구개발,생산팀,Yes,No,191,34.9,7,126572709,미국,71,71,82,36,6,23,37.9,NA,NA
4705,조기륭,공채,남,31,20.9,고려대학교,top5,85.78,학사,2014,연구개발,사업팀,No,Yes,382,84.6,16,115385557,대전(연구소),83,88,84,37,36,13,57.3,NA,NA
3146,최강필,공채,남,40,28.6,성균관대학교,top8,81.33,학사,2014,마케팅영업,기술팀,No,Yes,52,49.1,13,101844620,서울(본사),100,92,97,19,11,3,35.6,80746,NA
154,장건도,공채,남,42,21.8,인하대학교,기타,87.67,학사,2011,제조생산,사업팀,No,No,205,46,3,72914341,중국,92,95,79,49,42,13,50.2,NA,43
1906,최교묵,공채,남,42,22.1,국민대학교,기타,71.33,학사,2011,경영지원,마케팅팀,No,No,8,63.1,11,101808091,서울(본사),83,86,96,92,73,32,65.8,NA,NA
3027,최건표,공채,남,38,24.3,영남대학교,기타,86.44,전문대,2014,마케팅영업,마케팅팀,No,No,29,29.1,12,63699202,서울(본사),85,98,78,90,71,36,64,107024,NA
3323,강공민,공채,남,43,23.8,세종대학교,기타,81.33,학사,2014,제조생산,사업팀,No,No,153,45.1,10,63843126,서울(본사),92,81,74,48,39,14,51.8,NA,4
3893,장규백,공채,남,37,18.8,서강대학교,top8,73.72,학사,2016,경영지원,품질보증팀,No,No,54,32.6,10,95145417,미국,75,83,69,32,36,38,46.2,NA,NA
1342,정강린,해외,여,36,29.4,연세대학교,top5,77.33,전문대,2011,마케팅영업,품질보증팀,No,Yes,95,45.3,12,111965835,일본,95,98,62,49,44,40,45.2,172416,NA
2953,하경린,공채,여,36,23.7,한양대학교,top8,76,석사,2014,제조생산,기술팀,No,No,152,38.1,13,43127987,서울(본사),78,87,88,32,16,23,43,NA,2
3256,임규영,산학,남,40,19.9,홍익대학교,기타,71.33,학사,2014,제조생산,금융팀,No,No,202,26.9,31,60194272,서울(본사),84,66,71,30,25,78,54.6,NA,9
4652,한건우,인턴,남,28,9.9,부산대학교,국립,85.33,학사,2013,제조생산,금융팀,No,No,241,58.3,19,39136354,서울(본사),75,100,63,33,46,76,63.4,NA,6
4484,최국길,인턴,남,36,15.5,고려대학교,top5,75.33,학사,2012,제조생산,마케팅팀,No,No,176,47.2,11,65722883,미국,93,90,95,89,75,17,65.1,NA,7
4859,주경륜,공채,남,33,14.4,인하대학교,기타,66,석사,2011,경영지원,마케팅팀,No,No,303,42.3,9,108630278,미국,77,94,66,72,74,21,63.5,NA,NA
3770,윤규건,산학,남,45,22.4,포항공과대학교,top5,76.89,석사,2015,연구개발,품질보증팀,No,No,78,44.4,4,74575696,베트남,72,69,87,26,49,27,50.4,NA,NA
2466,윤규만,공채,남,44,25.2,경북대학교,국립,86.74,학사,2013,연구개발,기술팀,No,No,129,52.2,10,128271911,미국,96,67,88,26,16,10,39,NA,NA
1244,윤경백,공채,남,35,17.1,서강대학교,top8,70,박사,2016,제조생산,생산팀,No,No,158,45.4,3,47287848,베트남,100,91,66,40,25,38,50.5,NA,18
548,정경모,공채,남,46,23.1,성균관대학교,top8,60.67,학사,2015,경영지원,마케팅팀,No,No,77,39.9,12,91004481,서울(본사),68,72,97,89,75,33,64.2,NA,NA
818,이가희,공채,여,28,14.3,동국대학교,기타,82.22,석사,2012,경영지원,인력팀,No,No,175,48.1,4,71035209,중국,90,81,79,56,86,8,59.3,NA,NA
4440,임경채,공채,여,28,12.5,부산대학교,국립,80,학사,2012,연구개발,기술팀,No,No,21,54.4,5,100772709,미국,84,98,88,20,9,2,34.5,NA,NA
3839,강가선,공채,여,48,42.4,경희대학교,기타,80.89,석사,2015,연구개발,기술팀,No,Yes,85,54.9,7,128436252,서울(본사),84,90,98,24,15,38,46.5,NA,NA
4653,정규리,공채,여,30,16.8,서울대학교,수도권,80.67,석사,2013,마케팅영업,마케팅팀,No,No,20,33.8,7,51355278,서울(본사),68,80,63,92,73,21,60.4,35681,NA
557,장기담,공채,남,36,18.6,아주대학교,기타,66.67,전문대,2011,마케팅영업,생산팀,No,No,100,42.5,6,48006633,베트남,70,98,70,5,39,49,44.9,87920,NA
942,주강필,해외,남,32,22.7,BABSON COLLEGE,해외,80,학사,2012,제조생산,품질보증팀,No,Yes,226,52.2,10,86489341,서울(본사),71,90,63,5,49,50,56.3,NA,5
4148,이기표,산학,남,38,17,서울대학교,수도권,62.67,석사,2016,연구개발,마케팅팀,No,No,91,55.8,10,101574202,일본,92,75,80,95,75,25,63.2,NA,NA
2819,최기민,공채,남,40,20.6,한양대학교,top8,70.89,고졸,2014,제조생산,기술팀,No,No,186,45.9,1,76556772,미국,95,85,77,19,14,35,44.5,NA,6
4139,박경규,공채,남,48,28.1,단국대학교,기타,76,학사,2011,제조생산,사업팀,No,No,510,59.2,10,80037050,대전(연구소),88,79,75,76,44,13,54.8,NA,27
284,강군길,공채,남,33,12.9,한양대학교,top8,76.67,석사,2010,제조생산,기술팀,No,No,455,40.3,16,82617778,미국,68,94,76,1,5,16,39.4,NA,18
1259,한규영,공채,남,34,15.3,숭실대학교,기타,81.11,전문대,2010,제조생산,기술팀,Yes,No,370,39.3,14,15859063,베트남,95,87,72,17,25,40,38.3,NA,41
4502,임건모,산학,남,48,26.9,한양대학교,top8,87.67,전문대,2013,제조생산,기술팀,No,No,291,32.2,11,76687050,서울(본사),90,99,82,24,14,24,42.9,NA,6
374,한공명,산학,남,50,30.7,인하대학교,기타,77.78,박사,2013,연구개발,사업팀,No,No,57,43.9,4,161844620,일본,96,93,68,23,35,54,47.8,NA,NA
2072,김길성,공채,남,43,23.7,전남대학교,국립,76,학사,2011,제조생산,마케팅팀,No,No,252,61.6,11,48668126,베트남,98,82,76,91,76,47,68.1,NA,17
4742,한경수,공채,남,50,31.9,UNIVERSITY OF UTAH,해외,87.67,고졸,2012,제조생산,마케팅팀,No,No,170,30.6,12,79894620,서울(본사),82,75,98,86,73,19,66,NA,2
488,주규강,공채,남,35,16.5,성균관대학교,top8,71.33,학사,2011,연구개발,인력팀,No,No,28,46,15,76367848,베트남,76,100,98,61,83,51,65.7,NA,NA
125,장가윤,공채,여,31,17.8,한양대학교,top8,80.89,학사,2012,경영지원,품질보증팀,No,No,105,42.9,8,49721563,베트남,72,99,86,33,45,37,51,NA,NA
5304,한경택,공채,남,34,15.6,경희대학교,기타,82.44,학사,2010,마케팅영업,사업팀,No,No,68,39.5,17,73389063,서울(본사),77,82,86,34,27,34,46.7,106410,NA
995,조경태,해외,남,34,14.1,UNIV. OF SOUTHERN CA,해외,89.11,석사,2013,제조생산,기술팀,No,No,387,28.8,19,70034063,일본,69,74,67,13,13,21,40.9,NA,8
3374,강강숙,공채,여,36,20.2,경희대학교(국제캠퍼스),기타,77.78,석사,2014,마케팅영업,품질보증팀,No,No,35,71.7,11,53127987,서울(본사),94,94,83,25,12,67,44.7,102563,NA
4745,조규백,인턴,남,27,4.6,서울시립대학교,기타,80.47,고졸,2015,연구개발,생산팀,No,No,108,28.7,9,73857570,서울(본사),93,69,68,23,12,23,42,NA,NA
1535,박건도,공채,남,42,28.7,경북대학교,국립,77.21,학사,2015,제조생산,생산팀,No,No,172,48.6,11,55289341,서울(본사),99,74,73,25,32,19,47.3,NA,3
1026,한기동,공채,남,30,10.3,고려대학교,top5,80,학사,2015,연구개발,기술팀,No,No,127,48.1,19,93143924,일본,88,90,96,3,10,41,40.2,NA,NA
434,윤건도,공채,남,32,8,인하대학교,기타,63.33,학사,2011,마케팅영업,기술팀,Yes,No,236,43.1,9,67201494,서울(본사),91,83,64,4,16,9,33.5,51053,NA
1335,임공민,공채,남,50,30.6,성균관대학교,top8,81.56,석사,2015,제조생산,마케팅팀,No,No,206,30.4,8,86719620,미국,88,86,72,90,75,31,65.8,NA,8
2364,여건모,공채,남,33,14.9,서울시립대학교,기타,69.11,학사,2016,제조생산,기술팀,No,No,218,43.8,5,14430278,베트남,80,86,82,23,16,69,48.8,NA,21
1750,여공명,공채,남,46,28.1,한양대학교,top8,78,고졸,2014,연구개발,마케팅팀,No,No,141,56,9,83129481,베트남,98,98,62,91,78,37,64.7,NA,NA
4671,조기문,인턴,남,30,13.2,연세대학교,top5,80.67,학사,2013,제조생산,인력팀,No,No,214,38.7,18,47593924,서울(본사),72,69,87,81,81,13,61.7,NA,11
1017,정경택,공채,남,31,10.8,경희대학교(국제캠퍼스),기타,76.67,학사,2015,경영지원,사업팀,No,No,93,34.5,19,89572709,미국,83,69,98,9,35,13,45.1,NA,NA
3520,최건표,산학,남,47,26.5,서울대학교,top5,71.56,학사,2015,마케팅영업,생산팀,No,No,67,30.7,22,93558265,미국,75,95,65,44,18,21,43.5,126609,NA
1915,박규로,공채,남,42,24.1,건국대학교,기타,66.67,학사,2011,마케팅영업,신규서비스개발팀,No,No,71,50.6,12,81889341,서울(본사),89,96,92,43,49,71,50.7,82400,NA
1974,윤강혜,산학,여,44,27.2,세종대학교,수도권,68.22,학사,2015,연구개발,사업팀,No,No,144,83.8,2,91558265,대전(연구소),90,97,64,42,39,2,48.1,NA,NA
4109,한규강,공채,남,37,19.7,한국해양대학교,기타,93.78,전문대,2016,제조생산,사업팀,No,No,216,50.8,1,45145417,서울(본사),100,87,83,71,34,0,59.3,NA,12
4810,주경선,공채,여,31,15.6,연세대학교,top5,89.07,고졸,2011,제조생산,마케팅팀,Yes,No,288,50.4,3,36996563,서울(본사),71,72,95,92,20,18,47.7,NA,7
5278,한공명,공채,남,42,18.6,숭실대학교,기타,80,석사,2015,제조생산,기술팀,No,No,193,42.4,12,30289341,베트남,82,75,98,15,15,34,43.8,NA,19
5421,박규희,인턴,여,28,14.4,서울대학교,top5,82.33,학사,2013,제조생산,마케팅팀,No,No,120,61.6,8,37922709,서울(본사),93,98,98,91,72,1,62.5,NA,2
5415,장기민,공채,남,31,13.4,한양대학교,top8,80.44,학사,2013,경영지원,기술팀,No,No,122,39.2,12,100672709,미국,89,71,83,11,23,39,45.5,NA,NA
2349,강규경,공채,남,48,28.4,홍익대학교,기타,72.44,학사,2011,제조생산,생산팀,No,No,173,48.6,7,56055800,베트남,69,87,96,13,30,36,47.2,NA,19
5686,주경백,공채,남,28,8.4,충남대학교,국립,81.56,학사,2016,경영지원,사업팀,No,No,65,43.2,14,62286354,서울(본사),94,67,82,17,27,28,45.7,NA,NA
1914,장남연,공채,남,39,20.6,중앙대학교,기타,68,고졸,2011,연구개발,인력팀,No,No,158,62.7,2,107832987,중국,92,75,79,73,89,21,63.9,NA,NA
1145,이길성,공채,남,27,5.5,서울과학기술대학교,기타,90.22,학사,2016,제조생산,기술팀,No,No,277,45.6,7,30857570,대전(연구소),83,100,91,21,20,11,46.8,NA,9
1794,최기륭,공채,남,42,21.2,홍익대학교,기타,76.44,학사,2011,연구개발,기술팀,No,No,132,48.7,21,112126841,서울(본사),80,95,63,19,17,27,40.5,NA,NA
4559,박다일,공채,남,34,17.5,숭실대학교,기타,84.44,석사,2012,제조생산,신규서비스개발팀,No,No,153,47.2,12,56684063,서울(본사),71,84,81,9,36,82,58.1,NA,4
36,류강수,공채,남,49,27.3,전북대학교,기타,70.67,전문대,2011,경영지원,품질보증팀,No,No,130,23.2,15,136446754,미국,98,75,63,1,27,49,46.2,NA,NA
4992,강국길,해외,남,35,14.1,포항공과대학교,top5,87.11,학사,2010,연구개발,기술팀,Yes,No,184,51.9,2,115337848,미국,79,83,83,32,15,34,43.6,NA,NA
3134,김경연,공채,여,36,20.6,고려대학교,top5,88.67,학사,2014,경영지원,마케팅팀,No,No,116,32.9,11,73127987,서울(본사),98,83,62,93,73,49,64.3,NA,NA
3506,최건모,공채,남,44,27.5,건국대학교,기타,73.56,석사,2014,제조생산,마케팅팀,No,No,197,53.7,18,38546911,베트남,96,91,74,91,75,46,68.2,NA,23
959,정기택,공채,남,32,12.9,고려대학교(세종),기타,70.22,학사,2012,제조생산,생산팀,No,No,153,44.5,24,69201494,일본,68,67,90,7,30,23,47.5,NA,3
1744,장강길,공채,남,43,34.3,동의대학교,기타,78.22,학사,2011,마케팅영업,품질보증팀,No,Yes,154,61,9,90224724,베트남,86,92,92,31,47,87,54.5,75416,NA
4218,한건도,공채,남,36,17.7,단국대학교,기타,87.78,석사,2016,연구개발,마케팅팀,No,No,89,57.9,5,83716633,서울(본사),70,94,91,90,75,52,65.6,NA,NA
4754,장공민,공채,남,25,7.4,서울시립대학교,기타,85.58,학사,2016,연구개발,마케팅팀,No,No,71,34.6,28,68000000,서울(본사),72,82,78,96,72,43,65,NA,NA
4781,조남룡,해외,남,34,13.6,WASEDA UNIVERSITY,해외,98.25,박사,2012,제조생산,기술팀,No,No,263,40.3,24,87709063,서울(본사),70,76,73,4,12,32,42,NA,5
2010,윤가현,공채,여,40,21.7,동아대학교,기타,57.56,학사,2011,마케팅영업,기술팀,No,No,81,36,9,86255626,일본,72,79,79,22,16,46,43.1,20357,NA
1151,박규광,공채,남,31,11.7,충남대학교,국립,87.56,석사,2010,연구개발,기술팀,No,No,373,74.2,2,74722709,베트남,71,96,99,4,20,55,50,NA,NA
5465,임경택,공채,남,30,8,한국외국어대학교,기타,82.89,학사,2014,마케팅영업,기술팀,No,No,83,38.4,12,51443924,서울(본사),94,81,72,18,11,39,42.5,59163,NA
5315,장강만,공채,남,36,14.1,연세대학교,top5,84.88,학사,2010,연구개발,신규서비스개발팀,No,No,188,56.6,4,126126633,미국,82,95,71,9,43,77,53.6,NA,NA
287,송경희,공채,여,32,15.8,숙명여자대학교,기타,77.33,석사,2010,마케팅영업,생산팀,No,No,285,60.3,9,37662848,베트남,96,82,84,8,14,88,49.8,57425,NA
3647,최규광,산학,남,38,17.4,한양대학교,top8,79.33,전문대,2015,연구개발,생산팀,No,No,61,48.2,20,64574202,베트남,92,85,66,39,18,40,52,NA,NA
4450,윤경태,공채,남,31,13.2,한양대학교,top8,86.22,학사,2012,제조생산,금융팀,No,No,183,45,25,67285209,일본,68,80,64,14,51,68,53.6,NA,2
4097,장고운,산학,여,37,20.5,금오공과대학교,수도권,89.11,학사,2016,제조생산,생산팀,No,No,148,39.3,9,57431772,미국,75,90,77,14,29,22,43.1,NA,8
2892,조경빈,공채,여,46,28.8,버지니아,해외,87,전문대,2011,제조생산,기술팀,Yes,No,324,47.5,9,56290835,서울(본사),98,67,62,9,15,31,40.3,NA,19
4383,정강백,공채,남,33,13.9,건국대학교,수도권,78.67,석사,2011,제조생산,사업팀,No,No,316,46.2,10,33555278,베트남,85,71,73,19,20,22,45.9,NA,16
4977,장고운,산학,여,51,35.9,금오공과대학교,수도권,89.11,학사,2016,제조생산,생산팀,No,No,148,34.1,10,77434759,미국,87,90,65,23,23,27,42.8,NA,2
4230,이경도,공채,남,37,16.2,경희대학교,기타,76,학사,2016,마케팅영업,기술팀,No,No,55,25.4,18,30145417,베트남,70,67,74,22,16,48,43,35068,NA
5165,정규빈,공채,남,44,36,고려대학교,top5,83.33,전문대,2014,마케팅영업,생산팀,No,Yes,48,35.4,9,119559759,일본,92,82,62,14,22,21,40.6,37483,NA
3636,하경율,공채,남,39,22.4,경희대학교(국제캠퍼스),기타,86,학사,2015,제조생산,신규서비스개발팀,No,No,197,26.8,13,51002987,서울(본사),78,98,88,58,25,81,55.5,NA,4
33,주경란,공채,여,45,39.6,건국대학교,기타,77.56,학사,2011,제조생산,생산팀,No,Yes,260,53.3,11,128422568,서울(본사),82,75,81,13,29,24,52.5,NA,1
5577,전기동,공채,남,28,10.7,연세대학교,top5,89.11,학사,2015,제조생산,사업팀,No,No,208,43.3,22,35286354,서울(본사),95,85,94,52,25,50,51.4,NA,5
1314,임건우,공채,남,47,27.2,순천향대학교,기타,62,고졸,2011,연구개발,사업팀,No,No,173,53.4,3,118764515,서울(본사),79,94,66,34,56,27,53.2,NA,NA
2473,정강필,산학,남,45,23.9,인하대학교,기타,71.33,학사,2013,제조생산,기술팀,No,No,317,49.9,16,87750696,일본,95,79,86,23,18,31,48.6,NA,12
3682,조교묵,산학,남,48,26.7,한양대학교,top8,89.11,박사,2011,경영지원,사업팀,No,No,73,28.2,11,140332050,서울(본사),78,95,67,52,29,21,46.8,NA,NA
3585,김경연,공채,여,35,29.5,충남대학교,국립,92.67,학사,2015,제조생산,사업팀,No,Yes,201,38.8,13,69862050,서울(본사),67,98,99,52,54,43,55.2,NA,7
3569,박군길,공채,남,38,15.6,한양대학교,top8,87.33,석사,2015,마케팅영업,기술팀,No,No,100,44.8,4,79574202,미국,88,74,63,28,13,47,41.7,16846,NA
3151,장경륜,산학,남,39,17.4,충북대학교,기타,86.22,학사,2014,제조생산,기술팀,No,No,172,39.5,22,58127987,서울(본사),98,93,76,12,11,7,40.1,NA,3
999,장강윤,해외,여,29,14,0,해외,71.33,석사,2013,제조생산,사업팀,Yes,No,512,60.2,11,8801494,베트남,92,99,72,30,16,38,40.2,NA,30
1635,장경도,공채,남,41,23.8,영남대학교,기타,80.67,고졸,2011,제조생산,품질보증팀,No,No,457,81.2,9,70035557,대전(연구소),74,83,64,17,46,8,57.5,NA,7
4176,조규광,공채,남,44,22.5,성균관대학교,top8,76.67,학사,2015,마케팅영업,품질보증팀,No,No,266,36.8,13,68146911,대전(연구소),97,96,79,32,58,11,48.1,114447,NA
5013,정강린,해외,여,32,24.3,연세대학교,top5,77.33,전문대,2011,마케팅영업,품질보증팀,No,Yes,95,54.1,12,106250696,일본,94,68,98,67,30,14,44.8,74081,NA
110,박건도,공채,남,33,14.6,한국기술교육대학교,기타,87.11,고졸,2012,제조생산,인력팀,No,No,190,43,13,72780278,미국,74,74,65,83,88,8,61.5,NA,5
3007,장남인,인턴,남,38,16.3,성균관대학교,top8,73.11,학사,2014,제조생산,마케팅팀,No,No,153,34.7,16,31699202,베트남,83,94,76,95,75,42,68.3,NA,18
5429,류교묵,산학,남,47,28.6,경북대학교,국립,84.44,전문대,2015,마케팅영업,사업팀,No,No,93,47,16,47433265,베트남,72,91,80,36,57,18,48,164858,NA
898,최다호,공채,남,38,19.7,아주대학교,기타,81.11,학사,2012,마케팅영업,인력팀,No,No,13,42,27,73674202,서울(본사),94,81,68,61,72,33,58.9,76529,NA
1693,여경규,공채,남,40,15.6,경북대학교,국립,73.11,석사,2011,제조생산,기술팀,Yes,No,484,49.1,0,88256772,미국,86,88,70,26,28,32,38.1,NA,25
623,조국희,공채,여,30,14.8,한양대학교,top8,75.81,석사,2012,제조생산,마케팅팀,No,No,320,44.1,2,40742778,서울(본사),73,69,76,70,73,17,62.5,NA,14
4815,주강태,공채,남,33,13.1,연세대학교,top5,84.65,고졸,2011,연구개발,인력팀,No,No,232,55.9,14,99530278,대전(연구소),82,66,88,84,75,8,60.8,NA,NA
5615,정규만,인턴,남,28,3.8,중앙대학교,기타,80.67,학사,2015,마케팅영업,마케팅팀,No,No,96,31.1,21,65286354,미국,77,87,88,87,75,28,62.6,129891,NA
929,박강윤,공채,여,29,14.7,경북대학교,국립,73.26,학사,2012,제조생산,기술팀,No,No,223,55.7,8,42551494,서울(본사),91,79,95,1,20,26,39.1,NA,6
5037,주규영,공채,남,36,21.2,한양대학교,top8,81.56,학사,2015,연구개발,기술팀,No,No,68,40.3,11,61716633,베트남,81,81,76,9,4,38,39.4,NA,NA
5035,정나일,인턴,남,30,11.2,인하대학교,기타,82.44,전문대,2012,마케팅영업,생산팀,No,No,38,40.5,24,36993924,베트남,91,87,66,19,10,47,45.3,98581,NA
4399,전기룡,공채,남,34,16.9,연세대학교,top5,83.72,석사,2011,연구개발,생산팀,No,No,106,75,8,120359063,미국,97,87,83,9,9,9,45.4,NA,NA
2098,최경복,공채,남,45,24.9,창원대학교,기타,87.67,학사,2011,연구개발,마케팅팀,No,No,115,61,21,115775696,서울(본사),100,73,65,92,73,43,66.5,NA,NA
4829,조규광,공채,남,48,30.1,성균관대학교,top8,76.67,학사,2015,마케팅영업,품질보증팀,No,No,284,39,13,73862050,대전(연구소),80,81,66,58,24,13,46.5,34149,NA
311,정경복,공채,남,35,14.9,경희대학교,수도권,83.95,석사,2010,경영지원,사업팀,No,No,88,50.9,14,114600348,미국,81,79,75,1,64,43,52.9,NA,NA
4017,김경택,산학,남,37,16.1,성균관대학교,top8,66.67,학사,2015,경영지원,품질보증팀,No,No,82,29.5,23,93145417,일본,98,77,64,25,18,13,44,NA,NA
5423,하경표,공채,남,36,17.8,서강대학교,top8,84.44,학사,2013,제조생산,마케팅팀,No,No,220,32.9,18,53616633,서울(본사),68,69,80,92,73,33,65.5,NA,1
4910,하경린,공채,여,27,7.8,고려대학교,top5,93.56,고졸,2014,연구개발,생산팀,No,No,60,73.9,7,70043924,대전(연구소),69,77,64,17,18,16,46.9,NA,NA
1461,한경연,공채,여,38,24.4,전북대학교,기타,85.6,석사,2011,제조생산,품질보증팀,No,No,158,53.3,7,58035557,서울(본사),89,95,94,78,27,44,57.6,NA,3
3860,주강필,산학,남,38,19.1,고려대학교,top5,72.44,학사,2015,연구개발,마케팅팀,Yes,No,200,40.8,15,106574202,미국,90,97,66,91,19,35,48.9,NA,NA
2661,정경진,공채,여,44,30.2,서강대학교,top8,70.89,석사,2012,마케팅영업,기술팀,No,No,236,42.5,9,73745765,중국,72,92,92,4,9,17,33.9,114751,NA
2729,윤경모,공채,남,41,34.5,광운대학교,기타,81.56,학사,2013,연구개발,신규서비스개발팀,No,Yes,320,59.2,12,136910904,대전(연구소),78,87,94,7,40,58,53.6,NA,NA
5743,강가인,공채,여,41,26.8,아주대학교,기타,82.89,학사,2014,제조생산,기술팀,No,No,136,42.6,13,50271911,대전(연구소),98,90,78,11,15,32,40.8,NA,10
4194,장다환,산학,남,42,22.6,서울시립대학교,수도권,75.78,석사,2016,제조생산,기술팀,No,No,423,90.1,4,52289341,대전(연구소),96,84,87,23,11,11,53,NA,22
2934,하건도,공채,남,39,21.7,서강대학교,top8,72.33,박사,2014,연구개발,사업팀,No,No,108,46.8,8,125127987,서울(본사),83,79,94,62,40,33,57.6,NA,NA
1874,강가령,공채,여,39,24,대전가톨릭대학교,기타,67.11,학사,2011,제조생산,기술팀,No,No,195,54.3,10,59920591,중국,97,76,82,28,16,7,43.6,NA,24
3603,임규탁,공채,남,43,21.7,성균관대학교,top8,67.33,고졸,2013,마케팅영업,생산팀,No,No,34,27.5,18,76318126,중국,79,66,81,15,29,1,39.4,43590,NA
3669,하규태,산학,남,44,38.1,경북대학교,국립,72.44,학사,2015,마케팅영업,품질보증팀,No,Yes,335,76.5,8,100434759,대전(연구소),88,98,87,29,37,17,48.7,184749,NA
4528,윤경륜,산학,남,45,28.3,인하대학교,기타,76,석사,2014,마케팅영업,생산팀,No,No,80,44.8,4,51700696,베트남,82,85,70,10,11,34,42,41899,NA
5724,하규로,공채,남,26,5.8,한양대학교(안산캠퍼스),기타,78.22,석사,2016,제조생산,사업팀,No,No,225,36.9,17,29428785,서울(본사),75,91,98,49,47,33,51.3,NA,7
